Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1540853496677,890960864,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,3,0,NA,NA
1540853496677,890960864,return,java.util.concurrent.Semaphore@3feba861[Permits = 2],0,NA,NA,NA,NA,NA,NA
1540853496677,34712692,call,java.util.concurrent.Semaphore@3feba861[Permits = 2],1072408673,int,java.util.concurrent.Semaphore.availablePermits,3,0,NA,NA
1540853496677,34712692,return,2,1072408673,NA,NA,NA,NA,NA,NA
1540853496677,1339970073,call,D : is performing operation 3(comma) available Semaphore permits : ,106310986,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,2
1540853496677,1339970073,return,D : is performing operation 3(comma) available Semaphore permits : 2,106310986,NA,NA,NA,NA,NA,NA
1540853496677,778483567,call,D : is performing operation 3(comma) available Semaphore permits : 2,106310986,class java.lang.String,java.lang.StringBuilder.toString,3,0,NA,NA
1540853496677,778483567,return,D : is performing operation 3(comma) available Semaphore permits : 2,106310986,NA,NA,NA,NA,NA,NA
1540853496677,1287752888,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,3,1,java.lang.String,D : is performing operation 3(comma) available Semaphore permits : 2
1540853496677,1287752888,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853496677,1136458584,call,NA,NA,void,java.lang.Thread.sleep,3,1,java.lang.Long,1000
1540853496675,1013976738,return,NA,0,NA,NA,NA,NA,NA,NA
1540853497675,261372212,call,NA,NA,void,java.lang.System.out,3,0,NA,NA
1540853497675,261372212,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853497675,196989174,call,Thread[Thread-5(comma)5(comma)main],205797316,void,SemaphoreTest$MyATMThread.name,3,0,NA,NA
1540853497675,196989174,return,F,205797316,NA,NA,NA,NA,NA,NA
1540853497675,347985636,call,NA,NA,class java.lang.String,java.lang.String.valueOf,3,1,java.lang.String,F
1540853497675,347985636,return,F,0,NA,NA,NA,NA,NA,NA
1540853497675,671403983,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,3,1,java.lang.String,F
1540853497675,671403983,return,F,0,NA,NA,NA,NA,NA,NA
1540853497675,108469858,call,F,1663587386,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String, : is performing operation 
1540853497675,108469858,return,F : is performing operation ,1663587386,NA,NA,NA,NA,NA,NA
1540853497675,433632333,call,F : is performing operation ,1663587386,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,4
1540853497675,433632333,return,F : is performing operation 4,1663587386,NA,NA,NA,NA,NA,NA
1540853497675,388790798,call,F : is performing operation 4,1663587386,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String,(comma) available Semaphore permits : 
1540853497675,388790798,return,F : is performing operation 4(comma) available Semaphore permits : ,1663587386,NA,NA,NA,NA,NA,NA
1540853497675,697754247,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,3,0,NA,NA
1540853497675,697754247,return,java.util.concurrent.Semaphore@3feba861[Permits = 2],0,NA,NA,NA,NA,NA,NA
1540853497675,146733579,call,java.util.concurrent.Semaphore@3feba861[Permits = 2],1072408673,int,java.util.concurrent.Semaphore.availablePermits,3,0,NA,NA
1540853497675,146733579,return,2,1072408673,NA,NA,NA,NA,NA,NA
